State,Coal_Millionshrttons,Natural_Gas_BillionCBF,Petroleum_Millionbarrels,Nuclear_Electric_Billionkwzhr,Hydro_Electric_Billionkwzhr,Wind_Billionkwzhr,Fuel_Ethanol_MIllionBarrel,BioDiesel_MillionBarrel
Alabama,15.9,763.6,115.3,42.3,10.2,0,7.9,0.6
Alaska,1.2,445,44.8,0,1.7,0.1,0,0.2
Arizona,8.4,454,120.2,31.9,5.3,1.6,7.5,0.4
Arkansas,12.1,389.1,63.9,14.3,3.5,0,3.7,0.5
California,1.3,"2,058.90",628.1,17.6,17.6,14.6,33.9,6.7
Colorado,12.4,503.2,111.3,0,1.3,16.9,5.6,0.1
Connecticut,0,298.3,59.9,16.5,0.3,0,3.7,0.1
Delaware,0.1,86.8,21.6,0,0,0,1.2,0
Dist. of Col.,0,29.2,3.5,0,0,0,0.2,0
Florida,7.3,"1,619.20",356.2,30.8,0.2,0,21.9,0.5
Georgia,9.1,789.9,185.2,34.1,3.2,0,11,0.3
Hawaii,0.4,3,43.4,0,0.1,0.6,1.1,0.1
Idaho,0.1,138.6,37.1,0,8.4,2.4,1.8,0.1
Illinois,27.3,"1,102.60",227.1,98.9,0.1,23.5,10.3,3.9
Indiana,31.9,871.3,135.6,0,0.4,10,7.3,0.9
Iowa,13,438.1,91,0,1,45.8,4.5,1.6
Kansas,13.1,308.6,66,9,0,29.7,2.8,0.6
Kentucky,23.4,384.2,115.5,0,4.5,0,5.2,0.6
Louisiana,5.6,"2,035.00",389.4,16.2,0.9,0,5.3,0.8
Maine,0.1,60,32.9,0,3.1,2.7,1.5,0.1
Maryland,2.5,298.9,82.5,14.8,1.8,0.5,5.7,0.1
Massachusetts,0,419.9,103.5,0,0.9,0.2,6.3,0.2
Michigan,21.6,"1,029.50",165.8,26,1.4,9.2,10.3,0.7
Minnesota,10.5,506.5,115.9,14.7,1,15.1,7.2,3
Mississippi,5,604.6,74.4,8.6,0,0,4.2,0.5
Missouri,31.9,315.6,121.6,8.9,1.4,7.5,7.5,0.7
Montana,7.6,89.4,33.6,0,9.9,4,1.2,0
Nebraska,12.9,188.3,46.1,5.6,1.1,12.6,2.1,0.5
Nevada,1.8,290.1,58.7,0,1.7,0.3,3.1,0.2
New Hampshire,0.1,58.1,30.3,10.9,1.2,0.5,1.7,0.1
New Jersey,0.2,727.4,150.1,28.3,0,0,8.8,0.2
New Mexico,7.4,292.9,49.2,0,0.1,14.4,2.4,0.3
New York,0.2,"1,359.90",256.3,26.8,27.4,4.6,12.7,2
North Carolina,6.4,724.7,181.7,42.6,4.7,0.5,11.8,0.3
North Dakota,27,187.7,32.3,0,1.8,16.2,1,0.4
Ohio,21.3,"1,336.00",203,16.8,0.5,3.2,11.1,1.2
Oklahoma,6.1,757.1,99.3,0,1.8,37.6,4.4,0.7
Oregon,(s),279.2,65.2,0,31.3,8.1,3.7,2
Pennsylvania,20.6,"1,868.80",224.9,76.2,2.7,3.6,10.8,1.2
Rhode Island,0,91.1,15.4,0,0,0.2,0.9,0
South Carolina,6.2,350.7,98.5,54.4,2.2,0,6.5,0.2
South Dakota,1.5,95.9,23.4,0,4.3,10.3,1.2,0.2
Tennessee,9.4,427.6,139,35.6,9.2,0,8.1,0.8
Texas,59.3,"4,889.40","1,537.40",41.6,0.6,114.8,36.6,4.3
Utah,10.9,274.6,61.4,0,0.6,0.7,2.7,0.1
Vermont,0,13.5,14.4,0,1.1,0.4,0.7,0
Virginia,2.9,634.9,157.6,28.2,1.1,0.1,9.4,0.3
Washington,2.5,351,137.2,9.9,78.9,8.1,6.5,0.5
West Virginia,21.6,262.3,39.8,0,1.6,2,1.8,0.1
Wisconsin,12.9,594.6,108,10.1,2,1.8,6.5,0.6
Wyoming,22.2,163.1,26.8,0,0.7,9.8,0.7,0.1
United States,515.5,"32,261.80","7,303.70",771.5,254.8,434.3,333.9,
