Year,State,ProducerType,FuelSource,Nameplate_Capacity_(Megawatts),Summer_Capacity_(Megawatts)
2003,AK,"Combined Heat and Power, Commercial Power",All Sources,84,58
2003,AK,"Combined Heat and Power, Commercial Power",Coal,61,36
2003,AK,"Combined Heat and Power, Commercial Power",Petroleum,24,21
2003,AK,"Combined Heat and Power, Electric Power",All Sources,29,24
2003,AK,"Combined Heat and Power, Electric Power",Coal,29,24
2003,AK,"Combined Heat and Power, Industrial Power",All Sources,68,61
2003,AK,"Combined Heat and Power, Industrial Power",Natural Gas,36,32
2003,AK,"Combined Heat and Power, Industrial Power",Petroleum,32,29
2003,AK,"Electric Generators, Electric Utilities",All Sources,"1,945.00","1,753.00"
2003,AK,"Electric Generators, Electric Utilities",Coal,28,25
2003,AK,"Electric Generators, Electric Utilities",Hydroelectric,400,396
2003,AK,"Electric Generators, Electric Utilities",Natural Gas,945,803
2003,AK,"Electric Generators, Electric Utilities",Petroleum,572,529
2003,AK,"Electric Generators, Electric Utilities",Wind,1,1
2003,AK,Total Electric Power Industry,All Sources,"2,126.00","1,895.00"
2003,AK,Total Electric Power Industry,Coal,118,85
2003,AK,Total Electric Power Industry,Hydroelectric,400,396
2003,AK,Total Electric Power Industry,Natural Gas,981,835
2003,AK,Total Electric Power Industry,Petroleum,627,579
2003,AK,Total Electric Power Industry,Wind,1,1
2003,AL,"Combined Heat and Power, Electric Power",All Sources,"3,644.00","3,163.00"
2003,AL,"Combined Heat and Power, Electric Power",Natural Gas,"3,644.00","3,163.00"
2003,AL,"Combined Heat and Power, Industrial Power",All Sources,943,856
2003,AL,"Combined Heat and Power, Industrial Power",Coal,15,14
2003,AL,"Combined Heat and Power, Industrial Power",Natural Gas,357,294
2003,AL,"Combined Heat and Power, Industrial Power",Other Gases,4,4
2003,AL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,568,544
2003,AL,"Electric Generators, Electric Utilities",All Sources,"24,442.00","23,007.00"
2003,AL,"Electric Generators, Electric Utilities",Coal,"12,316.00","11,217.00"
2003,AL,"Electric Generators, Electric Utilities",Hydroelectric,"3,159.00","3,234.00"
2003,AL,"Electric Generators, Electric Utilities",Natural Gas,"3,657.00","3,550.00"
