"Existing Nameplate and Net Summer Capacity by Energy Source, Producer Type and State, 2003-2023",,,,,
Year,State,ProducerType,FuelSource,Nameplate_Capacity_(Megawatts),Summer_Capacity_(Megawatts)
2003,AK,"Combined Heat and Power, Commercial Power",All Sources,84.0,58.0
2003,AK,"Combined Heat and Power, Commercial Power",Coal,61.0,36.0
2003,AK,"Combined Heat and Power, Commercial Power",Petroleum,24.0,21.0
2003,AK,"Combined Heat and Power, Electric Power",All Sources,29.0,24.0
2003,AK,"Combined Heat and Power, Electric Power",Coal,29.0,24.0
2003,AK,"Combined Heat and Power, Industrial Power",All Sources,68.0,61.0
2003,AK,"Combined Heat and Power, Industrial Power",Natural Gas,36.0,32.0
2003,AK,"Combined Heat and Power, Industrial Power",Petroleum,32.0,29.0
2003,AK,"Electric Generators, Electric Utilities",All Sources,"1,945.0","1,753.0"
2003,AK,"Electric Generators, Electric Utilities",Coal,28.0,25.0
2003,AK,"Electric Generators, Electric Utilities",Hydroelectric,400.0,396.0
2003,AK,"Electric Generators, Electric Utilities",Natural Gas,945.0,803.0
2003,AK,"Electric Generators, Electric Utilities",Petroleum,572.0,529.0
2003,AK,"Electric Generators, Electric Utilities",Wind,1.0,1.0
2003,AK,Total Electric Power Industry,All Sources,"2,126.0","1,895.0"
2003,AK,Total Electric Power Industry,Coal,118.0,85.0
2003,AK,Total Electric Power Industry,Hydroelectric,400.0,396.0
2003,AK,Total Electric Power Industry,Natural Gas,981.0,835.0
2003,AK,Total Electric Power Industry,Petroleum,627.0,579.0
2003,AK,Total Electric Power Industry,Wind,1.0,1.0
2003,AL,"Combined Heat and Power, Electric Power",All Sources,"3,644.0","3,163.0"
2003,AL,"Combined Heat and Power, Electric Power",Natural Gas,"3,644.0","3,163.0"
2003,AL,"Combined Heat and Power, Industrial Power",All Sources,943.0,856.0
2003,AL,"Combined Heat and Power, Industrial Power",Coal,15.0,14.0
2003,AL,"Combined Heat and Power, Industrial Power",Natural Gas,357.0,294.0
2003,AL,"Combined Heat and Power, Industrial Power",Other Gases,4.0,4.0
2003,AL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,568.0,544.0
2003,AL,"Electric Generators, Electric Utilities",All Sources,"24,442.0","23,007.0"
2003,AL,"Electric Generators, Electric Utilities",Coal,"12,316.0","11,217.0"
2003,AL,"Electric Generators, Electric Utilities",Hydroelectric,"3,159.0","3,234.0"
2003,AL,"Electric Generators, Electric Utilities",Natural Gas,"3,657.0","3,550.0"
2003,AL,"Electric Generators, Electric Utilities",Nuclear,"5,270.0","4,972.0"
2003,AL,"Electric Generators, Electric Utilities",Petroleum,39.0,34.0
2003,AL,"Electric Generators, Independent Power Producers",All Sources,"3,802.0","3,135.0"
2003,AL,"Electric Generators, Independent Power Producers",Natural Gas,"3,795.0","3,128.0"
2003,AL,"Electric Generators, Independent Power Producers",Petroleum,7.0,7.0
2003,AL,Total Electric Power Industry,All Sources,"32,831.0","30,162.0"
2003,AL,Total Electric Power Industry,Coal,"12,331.0","11,231.0"
2003,AL,Total Electric Power Industry,Hydroelectric,"3,159.0","3,234.0"
2003,AL,Total Electric Power Industry,Natural Gas,"11,452.0","10,136.0"
2003,AL,Total Electric Power Industry,Nuclear,"5,270.0","4,972.0"
2003,AL,Total Electric Power Industry,Other Gases,4.0,4.0
2003,AL,Total Electric Power Industry,Petroleum,46.0,41.0
2003,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,568.0,544.0
2003,AR,"Combined Heat and Power, Commercial Power",All Sources,9.0,8.0
2003,AR,"Combined Heat and Power, Commercial Power",Natural Gas,7.0,6.0
2003,AR,"Combined Heat and Power, Commercial Power",Other Biomass,2.0,2.0
2003,AR,"Combined Heat and Power, Electric Power",All Sources,254.0,202.0
2003,AR,"Combined Heat and Power, Electric Power",Natural Gas,236.0,198.0
2003,AR,"Combined Heat and Power, Electric Power",Other Biomass,18.0,4.0
2003,AR,"Combined Heat and Power, Industrial Power",All Sources,375.0,322.0
2003,AR,"Combined Heat and Power, Industrial Power",Natural Gas,24.0,24.0
2003,AR,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,351.0,298.0
2003,AR,"Electric Generators, Electric Utilities",All Sources,"10,092.0","9,777.0"
2003,AR,"Electric Generators, Electric Utilities",Coal,"3,958.0","3,745.0"
2003,AR,"Electric Generators, Electric Utilities",Hydroelectric,"1,308.0","1,387.0"
2003,AR,"Electric Generators, Electric Utilities",Natural Gas,"2,928.0","2,752.0"
2003,AR,"Electric Generators, Electric Utilities",Nuclear,"1,845.0","1,840.0"
2003,AR,"Electric Generators, Electric Utilities",Petroleum,26.0,25.0
2003,AR,"Electric Generators, Electric Utilities",Pumped Storage,28.0,28.0
2003,AR,"Electric Generators, Independent Power Producers",All Sources,"3,744.0","3,241.0"
2003,AR,"Electric Generators, Independent Power Producers",Hydroelectric,1.0,1.0
2003,AR,"Electric Generators, Independent Power Producers",Natural Gas,"3,742.0","3,240.0"
2003,AR,Total Electric Power Industry,All Sources,"14,472.0","13,549.0"
2003,AR,Total Electric Power Industry,Coal,"3,958.0","3,745.0"
2003,AR,Total Electric Power Industry,Hydroelectric,"1,309.0","1,388.0"
2003,AR,Total Electric Power Industry,Natural Gas,"6,937.0","6,220.0"
2003,AR,Total Electric Power Industry,Nuclear,"1,845.0","1,840.0"
2003,AR,Total Electric Power Industry,Other Biomass,20.0,6.0
2003,AR,Total Electric Power Industry,Petroleum,26.0,25.0
2003,AR,Total Electric Power Industry,Pumped Storage,28.0,28.0
2003,AR,Total Electric Power Industry,Wood and Wood Derived Fuels,351.0,298.0
2003,AZ,"Combined Heat and Power, Commercial Power",All Sources,18.0,17.0
2003,AZ,"Combined Heat and Power, Commercial Power",Natural Gas,16.0,16.0
2003,AZ,"Combined Heat and Power, Commercial Power",Petroleum,2.0,2.0
2003,AZ,"Combined Heat and Power, Electric Power",All Sources,776.0,632.0
2003,AZ,"Combined Heat and Power, Electric Power",Natural Gas,776.0,632.0
2003,AZ,"Combined Heat and Power, Industrial Power",All Sources,87.0,84.0
2003,AZ,"Combined Heat and Power, Industrial Power",Coal,71.0,68.0
2003,AZ,"Combined Heat and Power, Industrial Power",Natural Gas,15.0,14.0
2003,AZ,"Combined Heat and Power, Industrial Power",Petroleum,2.0,2.0
2003,AZ,"Electric Generators, Electric Utilities",All Sources,"17,528.0","16,193.0"
2003,AZ,"Electric Generators, Electric Utilities",Coal,"5,749.0","5,336.0"
2003,AZ,"Electric Generators, Electric Utilities",Hydroelectric,"2,705.0","2,706.0"
2003,AZ,"Electric Generators, Electric Utilities",Natural Gas,"4,429.0","3,908.0"
2003,AZ,"Electric Generators, Electric Utilities",Nuclear,"4,209.0","3,825.0"
2003,AZ,"Electric Generators, Electric Utilities",Other Biomass,5.0,4.0
2003,AZ,"Electric Generators, Electric Utilities",Petroleum,228.0,191.0
2003,AZ,"Electric Generators, Electric Utilities",Pumped Storage,194.0,216.0
2003,AZ,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,8.0,7.0
2003,AZ,"Electric Generators, Independent Power Producers",All Sources,"7,778.0","6,583.0"
2003,AZ,"Electric Generators, Independent Power Producers",Natural Gas,"7,778.0","6,583.0"
2003,AZ,Total Electric Power Industry,All Sources,"26,187.0","23,510.0"
2003,AZ,Total Electric Power Industry,Coal,"5,819.0","5,404.0"
2003,AZ,Total Electric Power Industry,Hydroelectric,"2,705.0","2,706.0"
2003,AZ,Total Electric Power Industry,Natural Gas,"13,014.0","11,152.0"
2003,AZ,Total Electric Power Industry,Nuclear,"4,209.0","3,825.0"
2003,AZ,Total Electric Power Industry,Other Biomass,5.0,4.0
2003,AZ,Total Electric Power Industry,Petroleum,232.0,195.0
2003,AZ,Total Electric Power Industry,Pumped Storage,194.0,216.0
2003,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,8.0,7.0
2003,CA,"Combined Heat and Power, Commercial Power",All Sources,413.0,345.0
2003,CA,"Combined Heat and Power, Commercial Power",Hydroelectric,7.0,6.0
2003,CA,"Combined Heat and Power, Commercial Power",Natural Gas,328.0,270.0
2003,CA,"Combined Heat and Power, Commercial Power",Other Biomass,75.0,65.0
2003,CA,"Combined Heat and Power, Commercial Power",Petroleum,4.0,4.0
2003,CA,"Combined Heat and Power, Electric Power",All Sources,"4,179.0","3,812.0"
2003,CA,"Combined Heat and Power, Electric Power",Coal,360.0,317.0
2003,CA,"Combined Heat and Power, Electric Power",Natural Gas,"3,745.0","3,429.0"
2003,CA,"Combined Heat and Power, Electric Power",Other Biomass,42.0,34.0
2003,CA,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,31.0,31.0
2003,CA,"Combined Heat and Power, Industrial Power",All Sources,"2,795.0","2,422.0"
2003,CA,"Combined Heat and Power, Industrial Power",Coal,79.0,40.0
2003,CA,"Combined Heat and Power, Industrial Power",Natural Gas,"2,090.0","1,850.0"
2003,CA,"Combined Heat and Power, Industrial Power",Other,23.0,17.0
